Timestamp,Age,Gender,"Height (scale in cm, e.g. 183)",Where are you come from? (Country),Were your parents born from the same country as you?,How many language you speak at home to your family?,Religion denomination,Which academic field are you studying?,How many different countries have you lived in?,What is the temperature in degrees celsius right now?,Past intercultural experience: have you ever done one of the following international programs?,Indicate how strong you agree/disagree with the following sentence: [Q1. I enjoy being with people who have different values],Indicate how strong you agree/disagree with the following sentence: [Q2. I would rather work with someone who is like me than with someone who is different],Indicate how strong you agree/disagree with the following sentence: [Q3. I prefer being with people who have similar ways of thinking and values to mine],Indicate how strong you agree/disagree with the following sentence: [Q4. I often read and watch news about foreign countries],Indicate how strong you agree/disagree with the following sentence: [Q5. I have strong interest in international affairs],Indicate how strong you agree/disagree with the following sentence: [Q6. I often talk about situations and events in foreign countries with family and or friends],Indicate how strong you agree/disagree with the following sentence: [Q7. I am very interested in volunteer work in developing countries],Indicate how strong you agree/disagree with the following sentence: [Q8. I plan to be involved in international volunteer activities],Q1. People like you,Q2. Your national companies,Q3. Creation of jobs,Q4. Our quality of life,Q5. your national cultural history and traditions,Q6. your ability to learn about other cultures,Q7. Democracy and human rights,Q8. Maintaining cultural diversity in the world,Q9. The environment,Q10. Spread out COVID19,Q11. I have changed my opinion about the positive impact of globalization on humankind due to COVID19
August,29,3,181,BR,yes,2,Don't know,Business & Admin and Law,5,0,Volunteer service,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Agree,5,4,4,2,3,3,4,4,4,3,no
March,38,6,195,RU,yes,,,Arts and Humanities,,,,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,3,4,4,1,1,5,3,2,5,2,yes
June,34,4,153,ID,yes,2,Protestant,Social Science,3,25,None,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,1,5,2,2,2,5,2,4,4,2,yes
August,,10,165,PT,,1,Other,Natural Science,3,23,None,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,,,,,,,,,,,,
July,40,5,181,UG,yes,1,Other Christian,Social Science,4,21,None,Disagree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,1,5,1,4,1,5,4,2,3,5,yes
July,18,10,159,HU,no,1,Hindu,Social Science,4,3,None,Disagree,Disagree,,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,3,3,5,1,3,1,1,4,5,2,yes
August,27,2,200,CZ,yes,3,Don't know,Natural Science,1,4,Volunteer service,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Agree,2,2,3,4,4,1,4,2,1,2,no
April,18,8,151,CO,no,1,Roman Catholic,Arts and Humanities,1,-2,Volunteer service,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,1,5,1,4,5,1,4,4,2,1,yes
July,33,5,199,GR,no,4,Other Christian,Business & Admin and Law,3,26,Volunteer service,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,3,5,5,4,1,2,4,1,3,3,yes
February,38,8,156,RU,yes,,,Social Science,,,,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,5,1,4,4,3,3,1,1,2,4,yes
July,37,5,173,ID,no,1,Do not belong to a any religion,Information and Communication Technologies,5,21,None,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,4,5,3,4,4,4,4,4,4,5,no
June,34,8,169,PH,no,4,Other Christian,Social Science,5,24,Internship program,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,1,1,5,2,5,1,2,4,4,4,yes
June,34,5,179,CN,no,3,Do not belong to a any religion,Arts and Humanities,1,23,Studying school abroad,Strongly Disagree,Agree,,Disagree,Strongly Agree,Agree,Disagree,Disagree,4,4,4,1,1,5,2,1,1,2,yes
February,35,10,174,PT,no,5,Protestant,Mathematics and Statistics,5,5,None,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,2,2,5,2,4,4,2,5,3,3,no
July,32,5,158,CN,no,4,Roman Catholic,Natural Science,3,-5,Studying school abroad,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,3,5,1,1,1,4,1,4,4,4,no
July,20,2,166,AF,yes,3,Do not belong to a any religion,Information and Communication Technologies,3,8,Internship program,Agree,Strongly Agree,,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,5,1,5,4,4,2,2,3,4,2,no
April,,2,182,CN,no,2,Other,Natural Science,2,4,Volunteer service,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,1,1,2,3,2,5,3,5,2,2,yes
July,26,6,178,TD,,1,Do not belong to a any religion,Mathematics and Statistics,4,8,Studying school abroad,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,,,,,,,,,,,,
May,27,1,187,CF,no,2,Do not belong to a any religion,Arts and Humanities,3,0,None,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,2,2,2,1,3,1,3,4,1,5,yes
May,18,6,154,HN,yes,2,Protestant,Information and Communication Technologies,2,17,Volunteer service,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,3,3,1,4,1,5,3,5,3,3,no
August,29,7,187,IR,no,1,Orthodox,Social Science,2,19,Internship program,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,4,1,1,2,2,1,3,5,5,2,yes
February,33,2,166,IR,yes,4,Roman Catholic,Information and Communication Technologies,3,24,Internship program,Strongly Agree,Agree,,Strongly Disagree,Disagree,Agree,Disagree,Agree,3,5,1,1,5,5,3,5,5,4,no
June,33,3,156,AR,yes,4,Don't know,Mathematics and Statistics,1,3,Studying school abroad,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,5,5,5,2,3,1,2,2,3,2,no
February,,5,180,CN,yes,1,Roman Catholic,Arts and Humanities,5,12,Studying school abroad,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,4,4,1,4,4,1,1,3,4,5,yes
April,33,2,150,UA,yes,4,Other Christian,Natural Science,1,-2,Studying school abroad,,,Strongly Disagree,,Agree,Strongly Disagree,Strongly Agree,Disagree,2,2,3,1,1,4,4,3,4,1,yes
August,20,8,166,MA,yes,3,Other Christian,Information and Communication Technologies,5,2,None,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,5,2,2,1,3,1,1,1,1,3,no
April,34,2,189,CN,no,2,Protestant,Natural Science,3,4,Volunteer service,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,5,4,1,5,4,3,5,3,2,1,no
February,,3,153,NZ,yes,4,Other Christian,Natural Science,2,7,Internship program,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,4,3,3,2,5,5,4,3,2,4,yes
March,22,4,160,PH,yes,2,Other Christian,Arts and Humanities,5,8,Studying school abroad,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,4,1,5,3,2,5,3,2,4,1,yes
June,21,10,162,CN,yes,4,Orthodox,Information and Communication Technologies,1,11,Volunteer service,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,3,3,3,3,4,1,2,3,3,2,yes
March,,9,163,ID,yes,5,Don't know,Social Science,5,8,Volunteer service,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,1,2,4,2,3,4,3,2,5,3,yes
February,26,5,181,ID,no,2,Protestant,Natural Science,3,4,Volunteer service,Strongly Disagree,Agree,,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,3,4,3,5,3,2,2,4,5,3,no
August,,9,195,FR,yes,3,Jew,Natural Science,3,3,None,Agree,Disagree,,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,4,3,3,4,5,2,5,2,5,3,no
April,36,3,178,ID,yes,2,Hindu,Arts and Humanities,3,12,None,Disagree,Strongly Disagree,,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,2,1,5,1,2,1,5,1,4,3,yes
April,28,7,158,DE,,1,Buddhist,Arts and Humanities,4,15,Internship program,Agree,Strongly Agree,,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,,,,,,,,,,,,
February,29,2,182,IR,yes,3,Other Christian,Social Science,1,6,None,Strongly Disagree,Disagree,,Agree,Strongly Agree,Agree,Agree,Disagree,1,3,3,3,4,4,1,5,5,5,yes
June,19,4,159,AF,yes,1,Other,Social Science,1,-2,Studying school abroad,Disagree,Strongly Agree,,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,5,2,1,5,4,2,4,1,2,5,yes
August,19,6,163,ID,yes,5,Hindu,Arts and Humanities,1,9,None,Strongly Agree,Strongly Disagree,,Agree,Disagree,Strongly Disagree,Disagree,Disagree,3,5,4,4,2,2,2,3,3,2,yes
July,23,6,181,ID,yes,,,Arts and Humanities,,,,Disagree,Disagree,,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,4,4,1,5,2,2,3,3,5,2,yes
April,,7,194,TZ,yes,4,Other,Information and Communication Technologies,1,7,None,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,3,5,3,2,2,3,3,5,3,5,no
March,37,3,154,CL,no,4,Orthodox,Information and Communication Technologies,2,9,Internship program,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,3,3,1,1,1,5,2,4,1,3,no
March,26,2,189,ID,yes,5,Do not belong to a any religion,Arts and Humanities,1,12,None,Strongly Agree,Strongly Agree,,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,2,1,5,2,5,3,3,3,1,3,yes
March,33,5,170,HU,no,3,Other,Business & Admin and Law,5,-1,None,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,5,1,4,4,2,2,1,2,3,3,no
May,30,1,154,BO,no,4,Protestant,Business & Admin and Law,3,16,Internship program,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,3,5,1,1,3,4,4,4,5,5,no
May,31,2,189,CN,yes,1,Jew,Information and Communication Technologies,5,8,Internship program,Disagree,Disagree,,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,3,4,1,2,1,2,2,3,5,1,no
May,21,2,175,PL,yes,5,Protestant,Information and Communication Technologies,2,9,Volunteer service,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,1,5,5,3,1,4,2,3,2,1,yes
May,,2,173,PH,yes,3,Jew,Natural Science,5,17,None,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,2,4,3,1,4,3,3,2,4,2,yes
June,40,10,187,CN,no,5,Do not belong to a any religion,Business & Admin and Law,4,0,Volunteer service,Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,4,1,4,2,1,5,2,2,5,1,no
March,21,5,197,EC,no,2,Buddhist,Business & Admin and Law,3,26,None,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,3,5,4,5,5,5,1,3,1,3,no
August,37,7,182,AR,no,2,Buddhist,Business & Admin and Law,3,22,Volunteer service,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,4,2,5,3,5,3,1,4,5,1,no
June,36,3,200,UY,yes,2,Other Christian,Natural Science,5,6,Internship program,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,4,1,5,3,3,4,3,1,5,3,yes
August,20,9,185,GB,no,1,Other,Mathematics and Statistics,5,9,Internship program,Disagree,Agree,,Disagree,Strongly Agree,Agree,Disagree,Agree,1,3,4,1,5,1,2,2,3,2,yes
May,27,4,152,ID,no,1,Other Christian,Natural Science,4,22,None,Strongly Disagree,Disagree,,Agree,Strongly Disagree,Disagree,Agree,Agree,3,1,2,2,1,2,1,5,2,4,yes
July,35,10,159,ID,yes,3,Other Christian,Information and Communication Technologies,5,8,None,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,5,4,4,1,3,1,3,5,1,5,no
February,29,4,191,RU,yes,2,Protestant,Arts and Humanities,3,25,Internship program,Strongly Agree,Agree,,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,1,4,1,4,2,1,2,1,3,3,yes
June,32,3,158,VE,no,5,Jew,Mathematics and Statistics,3,7,Studying school abroad,,,Agree,,Agree,Agree,Disagree,Agree,4,2,4,1,5,3,1,3,2,1,yes
August,18,6,189,US,no,3,Other Christian,Business & Admin and Law,4,15,None,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,1,3,1,1,3,2,2,4,4,4,no
May,39,2,183,SL,no,2,Don't know,Social Science,5,8,Volunteer service,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,4,3,2,2,5,4,2,2,4,4,no
February,,5,166,FR,yes,4,Do not belong to a any religion,Mathematics and Statistics,4,0,Studying school abroad,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,1,5,5,3,1,3,5,4,4,4,yes
March,32,6,150,CN,no,5,Other Christian,Natural Science,1,5,Volunteer service,Strongly Disagree,Disagree,,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,3,5,2,3,2,5,1,5,5,4,no
May,32,1,169,ID,yes,1,Hindu,Mathematics and Statistics,1,9,Internship program,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,1,3,1,3,2,5,2,2,4,5,no
June,33,3,179,RU,,2,Do not belong to a any religion,Natural Science,2,7,Studying school abroad,Disagree,Disagree,,Strongly Agree,Strongly Disagree,Agree,Agree,,,,,,,,,,,,
July,19,9,154,BR,no,,,Natural Science,,,,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,2,3,4,1,5,1,5,5,5,3,yes
June,35,1,171,RU,yes,,,Business & Admin and Law,,,,Strongly Agree,Strongly Agree,,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,3,2,3,5,2,3,1,2,5,4,no
May,20,1,172,JP,no,2,Other,Natural Science,1,-2,Internship program,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,1,1,3,1,5,1,4,3,3,1,no
April,29,9,199,SE,yes,4,Jew,Natural Science,5,4,Volunteer service,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,1,4,1,2,4,4,4,1,5,1,no
July,27,1,152,CN,no,1,Jew,Mathematics and Statistics,1,16,Internship program,Strongly Agree,Disagree,,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,2,5,5,3,3,1,1,4,3,2,yes
February,24,10,151,PE,,4,Do not belong to a any religion,Social Science,4,-4,Volunteer service,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,,,,,,,,,,,,
July,32,9,169,CN,no,2,Other,Information and Communication Technologies,3,25,Internship program,Strongly Disagree,Strongly Agree,,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,5,4,4,3,2,3,1,3,2,3,yes
February,24,6,182,CN,,,,Information and Communication Technologies,,,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,,,,,,,,,,,,
July,25,7,183,CN,no,1,Roman Catholic,Information and Communication Technologies,5,12,Volunteer service,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,3,1,4,2,1,2,2,4,4,5,no
March,18,9,170,RU,no,5,Other Christian,Arts and Humanities,1,7,Internship program,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,3,2,4,5,5,1,3,1,1,2,yes
March,35,8,190,IT,no,4,Hindu,Natural Science,3,24,None,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,3,1,5,1,2,1,3,3,4,4,yes
May,,1,195,FR,yes,3,Roman Catholic,Arts and Humanities,5,15,Internship program,Disagree,Agree,,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,5,2,3,1,4,3,5,1,2,1,no
March,,3,151,PH,no,5,Other,Social Science,4,-5,Internship program,Disagree,Agree,,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,3,4,1,5,3,1,4,2,4,1,no
June,18,4,179,ID,no,4,Protestant,Natural Science,4,0,Internship program,Agree,Strongly Agree,,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,5,2,1,5,5,1,4,2,4,3,yes
May,19,2,186,AR,no,5,Don't know,Social Science,3,13,Internship program,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,4,3,1,4,5,1,4,3,2,4,yes
May,19,1,170,CN,,3,Orthodox,Business & Admin and Law,5,-5,Volunteer service,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,,,,,,,,,,,,
June,36,5,168,PL,yes,1,Orthodox,Mathematics and Statistics,4,17,None,Disagree,Strongly Disagree,,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,3,2,2,5,2,3,5,5,2,5,no
May,25,4,192,US,yes,5,Don't know,Social Science,5,27,Internship program,Disagree,Agree,,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,1,2,2,2,3,1,4,2,4,4,no
May,29,6,171,CN,no,5,Don't know,Information and Communication Technologies,5,9,Internship program,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,2,5,2,2,3,2,2,1,1,2,no
March,20,4,188,MW,no,1,Do not belong to a any religion,Social Science,5,24,None,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,2,1,5,5,2,4,5,1,3,2,yes
May,36,9,158,VN,no,3,Jew,Business & Admin and Law,4,24,Studying school abroad,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,2,2,3,3,2,4,5,1,2,2,yes
June,29,3,163,AR,no,3,Do not belong to a any religion,Arts and Humanities,1,23,Studying school abroad,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,5,4,3,5,2,3,5,3,2,4,yes
May,35,7,195,PL,no,,,Social Science,,,,,,Agree,,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,2,2,2,2,4,4,1,3,4,5,yes
April,20,3,167,PT,yes,4,Jew,Mathematics and Statistics,2,10,Volunteer service,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,5,2,5,5,3,1,5,1,3,5,no
May,26,6,176,FR,no,,,Natural Science,,,,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,5,2,3,1,4,5,4,3,3,3,yes
May,30,5,180,IR,no,1,Orthodox,Business & Admin and Law,3,17,Internship program,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,5,2,1,4,3,1,5,2,2,4,yes
August,27,7,162,IM,yes,,,Social Science,,,,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,4,5,4,4,2,1,5,5,4,3,no
June,37,4,150,CN,,2,Don't know,Business & Admin and Law,1,24,Studying school abroad,Disagree,Strongly Disagree,,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,,,,,,,,,,,,
February,33,4,175,CN,no,3,Protestant,Information and Communication Technologies,5,0,Studying school abroad,Strongly Disagree,Disagree,,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,3,2,2,2,4,2,2,5,3,4,no
February,36,7,167,ID,yes,4,Buddhist,Arts and Humanities,1,25,Internship program,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,4,2,3,2,2,1,1,1,3,3,yes
August,38,1,197,CN,yes,4,Protestant,Natural Science,3,4,Internship program,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,5,1,3,4,4,4,4,5,2,2,no
February,19,1,197,PT,no,3,Do not belong to a any religion,Social Science,1,27,Internship program,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,1,4,4,5,4,3,3,4,2,1,no
March,31,6,174,CN,no,5,Buddhist,Information and Communication Technologies,4,3,None,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,5,1,2,1,2,5,4,2,5,2,no
April,38,6,165,BD,yes,2,Hindu,Business & Admin and Law,1,25,Internship program,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,1,3,1,1,5,3,1,3,3,1,yes
June,39,4,179,PA,yes,5,Do not belong to a any religion,Social Science,4,11,None,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,1,1,5,3,4,1,4,5,5,4,no
February,,6,167,PH,yes,4,Other Christian,Business & Admin and Law,3,11,Studying school abroad,,,Agree,,Disagree,Strongly Agree,Agree,Strongly Disagree,5,3,4,1,3,1,3,2,2,2,yes
March,33,7,153,RU,no,4,Roman Catholic,Natural Science,5,11,None,Strongly Disagree,Strongly Agree,,Agree,Disagree,Strongly Disagree,Agree,Agree,1,5,4,1,2,4,1,1,5,3,yes
July,29,3,196,BR,yes,5,Buddhist,Business & Admin and Law,5,6,Studying school abroad,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,3,2,1,5,3,4,3,3,4,5,no
March,20,7,165,CN,yes,,,Arts and Humanities,,,,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,3,2,3,5,4,5,3,3,2,3,yes
June,34,9,199,AU,no,5,Orthodox,Information and Communication Technologies,2,-3,None,Agree,Strongly Agree,,Agree,Disagree,Strongly Disagree,Agree,Disagree,2,2,1,4,3,1,5,1,4,2,yes
March,22,1,184,CN,yes,1,Jew,Information and Communication Technologies,3,19,None,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,4,3,3,4,3,1,1,4,5,5,yes
July,35,10,175,GR,no,5,Buddhist,Natural Science,4,27,Volunteer service,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,4,5,1,2,3,2,5,4,4,3,yes
April,27,7,188,SE,,3,Other,Social Science,3,4,Volunteer service,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,,,,,,,,,,,,
July,20,1,174,SN,yes,5,Other,Social Science,4,-4,None,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,5,5,1,5,4,3,5,1,2,3,yes
February,33,1,191,CN,no,2,Other,Natural Science,3,4,None,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,2,1,4,5,5,5,4,2,4,1,yes
June,22,2,197,TH,yes,3,Hindu,Social Science,2,12,Volunteer service,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,4,4,2,1,1,3,3,2,4,5,no
February,30,8,192,JP,no,3,Other Christian,Natural Science,2,20,Volunteer service,Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,2,2,3,4,2,1,5,3,2,1,no
March,28,1,199,CN,no,3,Do not belong to a any religion,Natural Science,5,12,Volunteer service,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,4,4,2,4,2,1,5,5,2,1,no
March,26,9,167,CN,,2,Do not belong to a any religion,Social Science,1,15,Volunteer service,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Disagree,,,,,,,,,,,,
March,34,8,166,BF,no,4,Orthodox,Natural Science,2,-5,Volunteer service,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,4,1,4,1,3,2,5,2,4,1,no
July,27,10,185,FR,yes,1,Buddhist,Business & Admin and Law,3,15,Internship program,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,1,1,4,4,2,1,4,3,5,1,no
July,29,1,196,CZ,no,1,Other Christian,Information and Communication Technologies,2,15,None,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,2,1,5,1,4,3,2,1,3,2,yes
April,36,3,176,NL,yes,4,Other Christian,Business & Admin and Law,4,18,Volunteer service,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,3,1,3,5,2,5,3,2,2,4,no
June,27,10,156,ZA,no,1,Orthodox,Natural Science,5,7,Studying school abroad,,,,,Agree,Strongly Disagree,Strongly Agree,Agree,4,2,2,5,2,2,4,5,2,1,no
July,18,2,188,RU,yes,4,Buddhist,Business & Admin and Law,3,1,Internship program,Agree,Agree,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,1,5,3,2,4,4,1,4,4,2,yes
April,23,4,170,CN,yes,1,Buddhist,Business & Admin and Law,3,5,Internship program,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,2,5,1,5,1,2,4,5,5,1,no
June,20,2,154,GR,,1,Hindu,Arts and Humanities,2,26,Volunteer service,Disagree,Agree,,Agree,Strongly Agree,Disagree,Strongly Agree,,,,,,,,,,,,
May,25,8,175,PE,no,3,Orthodox,Information and Communication Technologies,3,20,None,Strongly Disagree,Strongly Agree,,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,1,2,1,1,4,3,5,3,1,2,no
May,22,2,176,CN,no,4,Do not belong to a any religion,Mathematics and Statistics,4,2,Internship program,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,1,4,4,3,1,3,2,2,3,2,yes
July,26,2,192,ZA,,1,Hindu,Natural Science,1,16,Studying school abroad,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,,,,,,,,,,,,
February,34,7,183,VE,yes,1,Other Christian,Natural Science,5,13,Volunteer service,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,1,5,4,3,4,1,5,2,5,2,no
