Document First Event;Date Document Release;Date Last Amendment
Law passed;27/12/2010;
Law passed;21/09/2009;
Law passed;18/09/2009;
Law passed;25/12/2010;
Law passed;27/04/2017;
Law passed;27/05/2013;
Law passed;22/08/2009;
Law passed;14/04/2004;09/08/2017
Law passed;19/06/1997;14/05/2020
Law passed;01/03/2013;
Law passed;05/05/2015;
Document released;01/08/2019;
Law passed;01/06/2013;
Law passed;24/01/2011;
Law passed;01/06/2006;
Law passed;09/10/2000;
Law passed;01/07/2016;
Law passed;25/12/2015;
Law passed;01/09/2018;
Approved;01/02/2017;
Approved;01/01/2015;
Law passed;04/12/2013;
Law passed;09/01/2009;
Law passed;12/12/2006;
Law passed;19/12/2011;
Law passed;23/06/2014;01/01/2015
Law passed;19/06/2019;
Law passed;05/07/2013;
Law passed;04/07/2012;31/10/2017
Law passed;04/07/2012;
Law passed;01/12/2019;
Law passed;23/03/2011;
Law passed;29/06/2011;10/09/2018
Law passed;01/01/2010;
Law passed;30/06/2008;
Law passed;30/06/2008;
Law passed;22/06/2007;
Law passed;01/01/2011;
Law passed;28/06/2006;
Document passed;11/04/2017;17/07/2020
Resolution issued;11/02/2020;
Approved;22/01/2015;23/08/2016
Approved;05/10/2012;
Approved;31/12/2013;
Approved;27/10/2016;
Approved;18/08/2016;
Approved;13/07/2009;
Approved;15/08/2014;
Approved;21/11/2012;
Approved;20/06/2012;
Adopted;29/09/2020;
Law passed;25/12/2005;
Law passed;29/10/1995;
Law passed;11/03/2009;
Law passed;01/06/2009;
Law passed;01/03/2012;31/05/2013
Law passed;25/12/2005;
Law passed;28/04/1995;10/04/2008
Law passed;10/04/2008;
Law passed;08/10/2015;
Law passed;18/04/2011;
Law passed;01/12/2010;
Law passed;05/01/2016;
Law passed;01/11/2007;
Law passed;01/05/2008;
Law passed;01/08/2011;
Law passed;01/01/2015;
Law passed;25/12/2015;
Law passed;25/12/2014;
Law passed;01/04/2016;
Law passed;25/12/2016;
Law passed;25/12/2017;
Approved;01/04/2015;
Approved;13/04/2010;
Approved;25/12/2012;
Law passed;03/07/2011;
Law passed;22/09/2011;
Original version;17/03/2003;07/04/2006
Law passed;01/08/2003;
Law passed;19/11/2019;
Law passed;11/06/2018;
Law passed;11/06/2018;
Law passed;25/12/1989;25/12/2001
Law passed;12/12/2019;
Policy released;19/03/2020;
Policy launched;19/03/2020;
